taxon,n.taxa
Cardiocrinum,4
Tricyrtis,15
Chionographis,2
Ypsilandra,5
Heloniopsis,1
Trillium,4
Paris,39
Veratrum,15
Zigadenus,1
Iphigenia,1
Disporum,15
Stemona,7
Croomia,1
Pandanus,6
Freycinetia,1
Acanthochlamys,1
Aletris,18
Burmannia,10
Tacca,5
Schizocapsa,2
Dioscorea,77
Petrosavia,2
Hedyosmum,1
Chloranthus,22
Sarcandra,3
Adlumia,1
Dactylicapnos,10
Corydalis,456
Fumaria,2
Hypecoum,4
Papaver,7
Meconopsis,63
Eomecon,1
Chelidonium,1
Stylophorum,2
Hylomecon,4
Glaucium,3
Dicranostigma,3
Euptelea,1
Kingdonia,1
Circaeaster,1
Decaisnea,1
Sinofranchetia,1
Holboellia,15
Stauntonia,22
Archakebia,1
Akebia,7
Sargentodoxa,1
Mahonia,33
Berberis,241
Sinopodophyllum,1
Dysosma,7
Diphylleia,1
Epimedium,44
Gymnospermium,3
Leontice,1
Caulophyllum,1
Caltha,10
Helleborus,1
Callianthemum,5
Anemone,102
Pulsatilla,16
Anemoclema,1
Clematis,278
Naravelia,2
Hepatica,2
Halerpestes,11
Oxygraphis,4
Ceratocephala,2
Ranunculus,178
Batrachium,14
Asteropyrum,2
Thalictrum,110
Paraquilegia,3
Urophysa,2
Aquilegia,17
Dichocarpum,13
Enemion,1
Isopyrum,2
Adonis,12
Trollius,26
Calathodes,4
Aconitum,366
Delphinium,277
Consolida,1
Beesia,2
Eranthis,5
Cimicifuga,13
Actaea,2
Souliea,1
Coptis,8
Tinomiscium,1
Fibraurea,1
Tinospora,9
Aspidocarya,1
Parabaena,1
Arcangelisia,1
Diploclisia,2
Pericampylus,1
Hypserpa,1
Cyclea,15
Cissampelos,1
Stephania,42
Albertisia,1
Eleutharrhena,1
Pycnarrhena,2
Cocculus,4
Pachygone,3
Menispermum,1
Sinomenium,1
Heliciopsis,3
Helicia,24
Pachysandra,4
Sarcococca,11
Buxus,32
Alangium,22
Cornus,46
Philadelphus,45
Kirengeshoma,1
Deutzia,67
Dichroa,6
Hydrangea,36
Platycrater,1
Deinanthe,1
Cardiandra,4
Schizophragma,13
Decumaria,1
Pileostegia,4
Nyssa,7
Camptotheca,2
Davidia,3
Diplopanax,1
Mastixia,6
Gonocaryum,2
Cardiopteris,1
Gomphandra,3
Helwingia,10
Ilex,268
Weigela,2
Heptacodium,1
Lonicera,81
Triosteum,3
Leycesteria,4
Symphoricarpos,1
Morina,8
Acanthocalyx,4
Nardostachys,1
Valeriana,21
Patrinia,13
Pterocephalus,2
Dipsacus,7
Scabiosa,6
Triplostegia,2
Zabelia,3
Dipelta,3
Diabelia,2
Kolkwitzia,1
Abelia,5
Linnaea,1
Sambucus,4
Adoxa,3
Sinadoxa,1
Viburnum,115
Toricellia,2
Sanicula,24
Eryngium,2
Bupleurum,70
Pleurospermum,42
Chamaesium,7
Notopterygium,6
Haplosphaera,2
Tongoloa,15
Sinolimprichtia,3
Physospermopsis,8
Chuanminshen,1
Changium,1
Cyclorhiza,2
Cicuta,3
Oenanthe,11
Berula,1
Cryptotaenia,1
Sium,5
Selinum,3
Cnidium,7
Ligusticum,46
Nothosmyrnium,6
Heracleum,36
Pachypleurum,5
Cortiella,3
Schrenkia,1
Semenovia,4
Melanosciadium,3
Archangelica,2
Cortia,1
Krasnovia,1
Trachydium,6
Peucedanum,47
Libanotis,18
Eriocycla,7
Seseli,21
Saposhnikovia,1
Angelica,54
Carlesia,1
Coelopleurum,2
Glehnia,1
Trachyspermum,6
Vicatia,3
Pimpinella,49
Dickinsia,1
Scaligeria,1
Aegopodium,5
Carum,4
Arcuatopterus,3
Scandix,1
Chaerophyllum,2
Osmorhiza,3
Anthriscus,3
Ostericum,15
Harrysmithia,2
Pternopetalum,34
Meeboldia,2
Acronema,24
Ferula,28
Turgenia,1
Schulzia,4
Sinocarum,12
Hydrocotyle,20
Chengiopanax,1
Aralia,33
Panax,11
Pentapanax,22
Schefflera,35
