"","Tip","brLegth"
"290","Pachygone_913",7.259769
"291","Cocculus_914",7.259769
"292","Hydrangea_926",6.255856
"293","Hydrangea_927",9.443653
"294","Hydrangea_929",13.996776
"295","Abelia_964",11.633748
"296","Abelia_966",19.212875
"297","Aralia_974",3.515364
"298","Aralia_975",7.982663
"299","Aralia_978",6.819768
"300","Schefflera_979",11.744234
"301","Schefflera_980",9.875723
"302","Schefflera_982",6.987613
"303","Macropanax_988",4.709558
"304","Macropanax_990",4.58702
"305","Schefflera_995",3.703762
"306","Pleurospermum_1003",12.465688
"307","Pleurospermum_1005",5.842248
"308","Physospermopsis_1010",6.079324
"309","Cnidium_1018",0.151224
"310","Ligusticum_1019",0.35073
"311","Ligusticum_1020",0.959155
"312","Pleurospermum_1021",8.967556
"313","Cortiella_1023",6.346532
"314","Archangelica_1027",1.216365
"315","Physospermopsis_1030",4.703624
"316","Cortiella_1031",6.688521
"317","Peucedanum_1033",3.788817
"318","Seseli_1036",3.607082
"319","Seseli_1037",2.828488
"320","Peucedanum_1038",1.461072
"321","Peucedanum_1040",3.871341
"322","Angelica_1041",0.73075
"323","Archangelica_1042",0.73075
"324","Cnidium_1044",1.72662
"325","Angelica_1046",0.940923
"326","Angelica_1047",1.41428
"327","Angelica_1048",1.720916
"328","Heracleum_1051",9.367315
"329","Heracleum_1052",7.650215
"330","Pimpinella_1055",0.084498
"331","Pimpinella_1057",1.077865
"332","Pimpinella_1058",8.201158
"333","Pternopetalum_1066",8.229616
"334","Pleurospermum_1069",0.668089
"335","Pternopetalum_1070",2.21167
"336","Onopordum_1093",7.442898
"337","Saussurea_1098",0.765932
"338","Saussurea_1099",1.242977
"339","Saussurea_1100",2.065187
"340","Saussurea_1101",1.89684
"341","Saussurea_1102",1.227812
"342","Saussurea_1103",1.825204
"343","Saussurea_1104",1.58273
"344","Saussurea_1105",3.868256
"345","Tricholepis_1112",7.926548
"346","Tricholepis_1114",5.847018
"347","Cirsium_1118",0.166271
"348","Cirsium_1120",0.695164
"349","Onopordum_1121",9.761536
"350","Doronicum_1123",29.780586
"351","Doronicum_1124",26.566526
"352","Artemisia_1125",17.340785
"353","Cotula_1126",16.612688
"354","Ajania_1128",4.272763
"355","Ajania_1129",4.236281
"356","Ajania_1130",4.118611
"357","Chrysanthemum_1132",3.919255
"358","Chrysanthemum_1133",2.426113
"359","Ajania_1134",2.426113
"360","Artemisia_1135",3.874321
"361","Artemisia_1137",5.069142
"362","Artemisia_1138",5.138458
"363","Artemisia_1141",1.583801
"364","Artemisia_1142",2.159134
"365","Artemisia_1143",1.708386
"366","Artemisia_1144",1.513105
"367","Artemisia_1146",0.548783
"368","Artemisia_1147",1.422774
"369","Artemisia_1149",1.765451
"370","Artemisia_1150",1.80537
"371","Artemisia_1151",1.918596
"372","Artemisia_1153",0.971183
"373","Artemisia_1154",2.009732
"374","Hippolytia_1155",2.443536
"375","Artemisia_1156",4.305608
"376","Tanacetum_1158",6.626634
"377","Tanacetum_1161",4.271101
"378","Artemisia_1163",17.306813
"379","Hippolytia_1164",17.38781
"380","Cotula_1165",24.765191
"381","Aster_1170",5.671592
"382","Aster_1171",2.243794
"383","Aster_1176",4.516462
"384","Erigeron_1177",5.916044
"385","Aster_1179",5.36396
"386","Aster_1181",7.229978
"387","Erigeron_1183",1.7344
"388","Gnaphalium_1189",10.940672
"389","Gnaphalium_1190",6.64142
"390","Anaphalis_1195",4.101418
"391","Anaphalis_1197",3.677137
"392","Gynura_1198",19.818231
"393","Senecio_1199",7.707113
"394","Gynura_1200",12.727191
"395","Erechtites_1201",8.429597
"396","Erechtites_1202",1.296419
"397","Senecio_1203",1.296419
"398","Senecio_1205",7.454616
"399","Synotis_1207",1.706884
"400","Synotis_1208",1.486591
"401","Synotis_1209",2.229623
"402","Synotis_1210",3.247118
"403","Senecio_1211",12.132972
"404","Petasites_1212",6.540338
"405","Petasites_1213",3.471712
