"","Tip","brLegth"
"290","Pachygone913_",7.259769
"291","Cocculus914_",7.259769
"292","Hydrangea926_",6.255856
"293","Hydrangea927_",9.443653
"294","Hydrangea929_",13.996776
"295","Abelia964_",11.633748
"296","Abelia966_",19.212875
"297","Aralia974_",3.515364
"298","Aralia975_",7.982663
"299","Aralia978_",6.819768
"300","Schefflera979_",11.744234
"301","Schefflera980_",9.875723
"302","Schefflera982_",6.987613
"303","Macropanax988_",4.709558
"304","Macropanax990_",4.58702
"305","Schefflera995_",3.703762
"306","Pleurospermum1003_",12.465688
"307","Pleurospermum1005_",5.842248
"308","Physospermopsis1010_",6.079324
"309","Cnidium1018_",0.151224
"310","Ligusticum1019_",0.35073
"311","Ligusticum1020_",0.959155
"312","Pleurospermum1021_",8.967556
"313","Cortiella1023_",6.346532
"314","Archangelica1027_",1.216365
"315","Physospermopsis1030_",4.703624
"316","Cortiella1031_",6.688521
"317","Peucedanum1033_",3.788817
"318","Seseli1036_",3.607082
"319","Seseli1037_",2.828488
"320","Peucedanum1038_",1.461072
"321","Peucedanum1040_",3.871341
"322","Angelica1041_",0.73075
"323","Archangelica1042_",0.73075
"324","Cnidium1044_",1.72662
"325","Angelica1046_",0.940923
"326","Angelica1047_",1.41428
"327","Angelica1048_",1.720916
"328","Heracleum1051_",9.367315
"329","Heracleum1052_",7.650215
"330","Pimpinella1055_",0.084498
"331","Pimpinella1057_",1.077865
"332","Pimpinella1058_",8.201158
"333","Pternopetalum1066_",8.229616
"334","Pleurospermum1069_",0.668089
"335","Pternopetalum1070_",2.21167
"336","Onopordum1093_",7.442898
"337","Saussurea1098_",0.765932
"338","Saussurea1099_",1.242977
"339","Saussurea1100_",2.065187
"340","Saussurea1101_",1.89684
"341","Saussurea1102_",1.227812
"342","Saussurea1103_",1.825204
"343","Saussurea1104_",1.58273
"344","Saussurea1105_",3.868256
"345","Tricholepis1112_",7.926548
"346","Tricholepis1114_",5.847018
"347","Cirsium1118_",0.166271
"348","Cirsium1120_",0.695164
"349","Onopordum1121_",9.761536
"350","Doronicum1123_",29.780586
"351","Doronicum1124_",26.566526
"352","Artemisia1125_",17.340785
"353","Cotula1126_",16.612688
"354","Ajania1128_",4.272763
"355","Ajania1129_",4.236281
"356","Ajania1130_",4.118611
"357","Chrysanthemum1132_",3.919255
"358","Chrysanthemum1133_",2.426113
"359","Ajania1134_",2.426113
"360","Artemisia1135_",3.874321
"361","Artemisia1137_",5.069142
"362","Artemisia1138_",5.138458
"363","Artemisia1141_",1.583801
"364","Artemisia1142_",2.159134
"365","Artemisia1143_",1.708386
"366","Artemisia1144_",1.513105
"367","Artemisia1146_",0.548783
"368","Artemisia1147_",1.422774
"369","Artemisia1149_",1.765451
"370","Artemisia1150_",1.80537
"371","Artemisia1151_",1.918596
"372","Artemisia1153_",0.971183
"373","Artemisia1154_",2.009732
"374","Hippolytia1155_",2.443536
"375","Artemisia1156_",4.305608
"376","Tanacetum1158_",6.626634
"377","Tanacetum1161_",4.271101
"378","Artemisia1163_",17.306813
"379","Hippolytia1164_",17.38781
"380","Cotula1165_",24.765191
"381","Aster1170_",5.671592
"382","Aster1171_",2.243794
"383","Aster1176_",4.516462
"384","Erigeron1177_",5.916044
"385","Aster1179_",5.36396
"386","Aster1181_",7.229978
"387","Erigeron1183_",1.7344
"388","Gnaphalium1189_",10.940672
"389","Gnaphalium1190_",6.64142
"390","Anaphalis1195_",4.101418
"391","Anaphalis1197_",3.677137
"392","Gynura1198_",19.818231
"393","Senecio1199_",7.707113
"394","Gynura1200_",12.727191
"395","Erechtites1201_",8.429597
"396","Erechtites1202_",1.296419
"397","Senecio1203_",1.296419
"398","Senecio1205_",7.454616
"399","Synotis1207_",1.706884
"400","Synotis1208_",1.486591
"401","Synotis1209_",2.229623
"402","Synotis1210_",3.247118
"403","Senecio1211_",12.132972
"404","Petasites1212_",6.540338
"405","Petasites1213_",3.471712
